SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
36.66,62.10,0.27,5.28,52.74,44.02,0.50,37.66,201.58,
31.13,55.66,0.25,3.99,57.71,43.37,0.14,25.57,192.26,
34.48,59.55,0.30,5.14,54.93,49.46,0.18,28.17,204.03,
38.87,56.31,0.30,5.19,56.78,46.24,0.25,37.90,203.94,
35.82,51.27,0.34,5.01,54.78,49.82,0.35,24.13,197.39,
33.66,54.75,0.21,4.31,58.61,48.87,0.15,25.14,200.55,
29.81,58.49,0.28,5.45,56.15,46.31,0.18,39.12,196.68,
41.69,59.21,0.28,4.57,64.38,43.12,0.17,29.38,213.42,
34.61,58.24,0.30,4.43,54.13,44.58,0.19,27.04,196.50,
36.30,57.26,0.31,4.46,54.41,52.89,0.21,37.67,205.83,
38.93,69.29,0.35,4.31,54.34,43.92,0.16,26.38,211.30,
30.90,58.55,0.29,4.73,63.90,56.16,0.28,28.73,214.82,
34.41,56.41,0.37,4.74,52.61,50.33,0.20,38.01,199.07,
30.08,57.24,0.33,4.46,57.04,43.66,0.19,25.27,192.99,
31.77,55.15,0.28,4.38,54.48,51.58,0.16,24.94,197.80,
39.07,54.73,0.51,4.31,57.80,50.60,0.18,36.08,207.20,
24.54,59.60,0.30,5.19,52.84,53.76,0.26,25.50,196.50,
38.18,57.62,0.37,4.58,55.35,49.69,0.21,26.85,206.01,
37.38,58.19,0.29,5.42,55.68,52.35,0.86,36.46,210.16,
33.14,63.19,0.42,4.98,59.81,51.36,0.21,27.29,213.12,
37.27,57.55,0.27,5.85,56.05,50.62,0.15,26.80,207.76,
38.24,58.74,0.32,4.34,53.68,43.65,0.18,38.76,199.15,
32.10,59.87,0.36,4.73,56.07,48.82,0.21,28.67,202.17,
35.43,57.83,0.26,4.80,56.00,44.13,0.24,28.07,198.69,
33.67,58.09,0.29,5.44,50.54,48.62,0.18,35.58,196.83,
30.25,59.51,0.28,4.86,54.28,45.33,0.32,23.72,194.83,
32.29,58.12,0.27,5.37,53.83,43.65,0.37,27.80,193.90,
29.91,60.04,0.30,5.21,54.29,57.18,0.26,35.99,207.19,
31.58,57.63,0.30,4.80,53.85,43.32,0.18,25.75,191.65,
37.05,57.62,0.30,4.87,57.82,44.74,0.18,26.52,202.57,
37.61,57.13,0.28,4.62,52.83,50.10,0.24,35.94,202.81,
29.70,55.97,0.28,4.58,58.41,47.56,0.51,27.87,197.01,
32.77,65.06,0.22,2.77,57.46,50.36,0.23,28.03,208.87,
36.44,60.98,0.36,4.85,61.32,55.37,0.28,39.95,219.59,
36.82,56.56,0.33,4.54,56.18,41.87,0.17,26.51,196.48,
32.60,58.98,0.32,4.20,56.50,46.26,0.18,26.10,199.04,
33.84,67.77,0.28,4.34,53.11,50.67,0.22,38.40,210.23,
35.39,56.04,0.28,4.76,55.06,44.68,0.19,27.71,196.40,
35.67,59.38,0.28,4.99,62.74,54.10,0.69,27.86,217.87,
29.25,60.39,0.41,4.45,54.09,49.98,0.41,38.53,198.97,
38.68,60.55,0.29,5.22,55.10,43.52,0.18,25.00,203.53,
28.72,58.80,0.29,4.98,56.24,48.50,0.16,25.83,197.70,
25.84,60.55,0.30,4.78,52.69,44.10,0.16,35.88,188.42,
37.94,61.36,0.36,5.16,59.13,51.78,0.76,25.47,216.48,
32.56,60.30,0.31,4.18,59.21,49.57,0.19,27.10,206.31,
31.98,61.36,0.33,4.54,52.47,45.09,0.21,36.50,195.98,
32.18,60.20,0.32,5.19,55.25,49.69,0.14,25.02,202.96,
38.05,59.44,0.35,4.98,54.97,43.68,0.19,25.57,201.65,
29.14,62.88,0.29,5.21,52.74,47.83,0.20,37.77,198.28,
26.90,61.55,0.35,5.13,56.78,49.35,0.26,24.94,200.31,
34.36,60.57,0.32,4.33,54.26,45.05,0.41,28.16,199.30,
30.77,60.44,0.32,4.55,53.80,50.86,0.17,37.31,200.91,
38.65,56.32,0.22,6.22,51.43,47.76,0.15,21.80,200.76,
33.71,55.93,0.28,4.07,57.75,53.19,0.25,27.40,205.19,
28.83,56.99,0.31,4.93,57.32,46.54,0.21,38.26,195.12,
29.28,54.47,0.26,4.71,59.38,54.29,0.21,23.66,202.61,
28.70,59.70,0.22,5.82,57.99,54.16,0.18,27.32,206.78,
31.88,60.95,0.37,5.06,60.87,54.46,0.25,38.28,213.83,
35.16,55.49,0.33,5.34,56.76,50.93,0.24,25.42,204.24,
37.96,60.22,0.27,4.95,65.63,52.76,0.17,26.93,221.97,
32.08,59.74,0.30,4.70,57.25,55.50,0.26,40.17,209.83,
27.66,59.50,0.35,4.36,53.93,49.68,0.21,26.83,195.70,
29.69,56.27,0.16,2.91,58.87,55.23,0.18,28.42,203.31,
34.00,57.55,0.29,4.49,52.40,43.41,0.19,37.79,192.34,
38.22,58.85,0.30,4.81,64.08,57.60,0.40,26.50,224.27,
26.99,57.47,0.29,5.02,58.58,50.25,0.24,24.09,198.85,
24.04,59.30,0.29,4.46,54.20,44.56,0.22,40.11,187.07,
34.64,58.80,0.28,4.89,56.81,43.70,0.30,25.62,199.43,
29.84,59.26,0.30,4.21,53.01,43.65,0.25,26.16,190.51,
35.82,62.51,0.29,5.10,60.59,46.35,0.18,37.78,210.84,
30.70,57.13,0.30,4.56,56.67,49.40,0.17,25.04,198.93,
29.82,57.48,0.30,4.33,61.83,44.36,0.16,25.78,198.28,
25.28,57.58,0.29,2.65,58.69,50.74,0.21,39.89,195.44,
37.89,59.62,0.26,4.13,56.80,50.10,0.26,25.58,209.06,
36.10,60.86,0.27,4.06,64.17,51.25,0.15,28.47,216.87,
39.00,58.86,0.37,5.13,47.67,44.29,0.17,34.46,195.49,
