SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
31.06,54.34,0.18,4.53,46.66,51.86,0.21,22.86,188.85,
36.25,61.94,0.27,4.65,69.67,49.87,0.17,27.01,222.82,
29.67,58.99,0.26,4.60,58.11,41.33,0.15,38.63,193.11,
33.19,59.49,0.29,5.20,56.40,40.33,0.17,26.26,195.07,
35.34,56.74,0.27,1.95,61.50,42.23,0.15,30.23,198.18,
29.69,62.59,0.27,4.36,56.38,47.95,0.21,39.40,201.45,
35.09,59.16,0.29,5.07,53.53,51.73,0.16,27.00,205.03,
37.85,57.41,0.30,4.96,56.83,42.61,0.17,26.37,200.13,
34.00,59.33,0.34,4.87,55.25,48.97,0.17,38.24,202.92,
36.05,57.72,0.28,4.93,54.89,45.70,0.35,25.03,199.93,
31.04,60.45,0.29,4.99,54.79,46.86,0.16,26.65,198.58,
30.66,58.78,0.28,4.28,53.31,48.43,0.20,38.60,195.94,
25.96,61.16,0.31,4.85,58.51,46.95,0.17,25.95,197.90,
25.32,61.83,0.25,5.08,51.65,44.49,0.19,26.04,188.80,
32.53,57.25,0.24,4.88,53.01,50.62,0.29,38.39,198.82,
30.47,58.93,0.27,4.40,56.55,51.43,0.19,25.12,202.23,
37.20,59.90,0.29,4.56,61.54,53.53,0.17,27.17,217.19,
36.00,57.80,0.27,5.13,55.64,43.89,0.21,37.13,198.94,
31.47,56.66,0.27,4.28,55.29,49.16,0.18,28.06,197.31,
31.99,55.01,0.35,4.32,51.45,51.03,0.15,27.20,194.30,
24.97,49.09,0.23,4.30,53.70,42.85,0.17,39.60,175.31,
23.12,52.77,0.26,4.61,50.57,42.24,0.20,27.91,173.77,
35.57,57.68,0.25,4.78,56.63,54.10,0.15,28.29,209.16,
32.35,58.89,0.28,4.45,54.34,43.16,0.20,37.43,193.66,
38.07,58.75,0.23,4.30,49.02,39.51,0.10,26.68,189.98,
29.12,48.76,0.23,4.35,56.38,47.95,0.22,29.47,187.01,
26.55,60.98,0.28,4.87,55.74,50.05,0.19,38.19,198.67,
35.40,57.85,0.29,5.15,55.11,49.72,0.13,24.52,203.65,
27.09,58.45,0.30,5.22,54.40,42.88,0.20,27.68,188.56,
33.30,61.51,0.29,4.06,63.44,52.18,0.23,38.42,215.01,
34.98,56.02,0.30,4.70,55.81,48.10,0.17,23.26,200.08,
31.27,58.19,0.28,4.14,54.65,37.22,0.16,27.65,185.91,
30.28,55.72,0.26,5.86,52.47,46.53,0.27,36.82,191.38,
31.84,57.57,0.24,6.45,56.12,44.49,0.15,27.04,196.86,
31.89,59.79,0.28,4.48,53.24,44.62,0.15,26.52,194.45,
33.60,56.22,0.15,2.19,57.80,51.69,0.19,41.75,201.84,
27.47,59.41,0.25,4.07,52.89,44.95,0.20,26.51,189.24,
33.81,55.43,0.22,4.69,54.62,48.74,0.21,26.88,197.72,
27.16,61.81,0.27,4.30,65.95,50.26,0.19,41.13,209.95,
39.15,60.15,0.34,4.58,60.78,47.42,0.24,26.59,212.65,
29.28,60.98,0.31,4.53,55.70,48.78,0.19,26.71,199.76,
27.89,58.10,0.37,5.17,49.31,52.58,0.50,34.03,193.93,
27.45,59.80,0.28,4.40,55.46,53.93,0.22,26.86,201.54,
29.91,59.64,0.30,5.01,60.70,48.09,0.17,27.70,203.82,
33.93,58.65,0.28,4.82,50.77,47.32,0.18,39.09,195.96,
31.59,57.16,0.16,2.68,58.70,42.52,0.17,27.44,192.98,
34.98,57.56,0.27,4.19,55.70,41.99,0.14,29.73,194.84,
36.51,56.37,0.34,4.02,55.99,47.44,0.16,41.50,200.83,
30.36,58.24,0.26,4.47,53.49,48.98,0.20,25.36,196.00,
27.75,59.69,0.30,4.65,58.37,42.76,0.17,27.26,193.69,
29.60,61.19,0.23,3.69,52.54,49.94,0.17,39.13,197.36,
30.90,60.13,0.31,4.17,58.03,44.37,0.21,25.87,198.11,
37.14,56.47,0.31,5.09,52.98,49.58,0.24,23.86,201.82,
28.29,60.86,0.29,4.92,56.66,49.05,0.15,36.99,200.23,
25.48,60.11,0.25,4.24,54.30,43.48,0.19,27.89,188.05,
34.59,59.26,0.27,3.89,49.86,46.82,0.46,26.10,195.15,
36.09,58.30,0.30,5.17,54.13,51.03,0.17,37.68,205.18,
35.81,56.77,0.25,5.10,58.52,53.59,0.23,24.87,210.27,
33.51,56.92,0.28,4.49,55.48,52.23,0.19,27.79,203.11,
37.90,58.30,0.31,4.58,53.42,42.65,0.15,39.41,197.32,
