SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
26.06,27.25,61.68,42.32,19.15,43.52,56.48,87.32,0.18,0.35,41.23,3.28,0.72,0.82,1.09,36.32,25.44
27.00,30.70,64.30,45.66,19.54,47.25,52.62,88.73,0.28,0.27,42.72,3.60,0.34,0.52,1.10,38.33,38.54
26.82,27.37,66.59,49.47,17.95,43.41,49.49,85.98,0.22,0.22,43.82,2.39,0.35,0.54,0.49,35.89,28.96
29.12,30.05,61.92,44.72,20.97,44.00,49.28,85.73,0.36,0.25,40.65,3.82,0.45,0.47,0.69,36.33,26.02
27.43,27.17,63.72,43.93,24.21,41.85,48.37,92.50,0.23,0.32,41.98,2.46,0.54,0.48,0.61,38.81,38.83
26.47,26.79,59.91,37.17,17.79,39.14,52.00,87.06,0.24,0.30,38.78,1.19,0.20,0.21,0.56,37.70,25.61
27.08,26.94,62.92,43.11,18.02,41.12,49.60,87.95,0.22,0.31,41.97,3.94,0.31,0.36,1.08,38.74,25.57
26.81,26.66,64.50,44.08,16.09,43.11,48.73,86.22,0.28,0.27,42.66,3.42,0.23,0.48,0.67,37.00,37.50
26.97,26.00,60.92,46.73,18.35,41.87,50.36,86.56,0.23,0.29,40.32,2.46,0.24,0.49,0.51,38.16,25.91
32.25,27.12,63.55,45.34,17.62,49.66,48.84,87.39,0.35,0.26,40.95,4.02,0.59,0.86,1.25,38.57,26.69
31.64,26.75,61.96,41.17,18.32,42.63,45.85,87.31,0.40,0.27,39.53,2.68,0.32,0.52,0.99,37.10,39.07
25.24,23.98,54.85,48.58,16.47,51.07,49.20,85.21,0.22,0.16,37.52,3.76,0.25,0.56,1.02,37.29,27.21
30.89,29.07,60.06,43.80,14.97,41.26,46.65,83.86,0.41,0.35,39.94,2.19,0.24,0.46,0.89,35.78,26.60
28.30,28.84,64.28,43.50,15.63,42.60,48.38,87.97,0.30,0.31,40.05,2.51,0.25,0.50,0.68,37.89,41.21
31.11,27.33,68.46,43.45,18.69,41.75,47.95,90.00,0.34,0.27,43.15,2.29,0.40,0.45,0.59,38.31,25.22
29.77,28.48,60.36,44.98,16.81,41.95,51.25,90.79,0.26,0.27,39.76,3.16,0.78,0.73,1.07,37.34,27.28
25.72,25.25,62.73,42.33,18.95,39.58,43.86,84.51,0.18,0.29,40.33,2.32,0.28,0.36,0.52,35.87,39.71
29.89,27.57,62.80,42.46,19.84,41.23,47.82,84.68,0.26,0.26,38.09,3.20,0.34,0.62,0.46,35.20,27.42
27.24,78.77,60.97,49.70,18.90,41.90,50.61,87.38,0.24,0.36,40.82,3.95,0.36,0.73,0.62,36.75,31.04
25.44,29.37,66.18,43.35,23.19,45.00,51.08,88.87,0.25,0.27,39.99,2.20,0.41,0.41,0.71,37.53,36.25
35.78,30.32,70.27,45.34,19.09,42.13,51.63,89.72,0.35,0.43,43.11,2.23,0.28,0.44,1.03,39.47,28.11
23.49,26.41,65.39,43.41,17.39,42.81,50.73,84.32,0.26,0.23,40.97,2.16,0.30,0.59,0.68,34.71,29.11
24.57,34.72,67.88,45.25,18.48,42.80,51.65,89.46,0.16,0.29,42.05,2.41,0.29,0.59,0.95,39.44,36.96
26.86,28.58,65.81,42.99,18.46,45.01,50.68,86.74,0.23,0.26,42.01,1.97,0.29,0.54,0.66,36.50,27.38
26.62,28.92,69.20,44.32,19.90,44.48,52.39,90.26,0.23,0.23,42.06,2.28,0.31,0.51,0.65,40.12,27.65
29.44,29.37,63.30,45.56,19.25,43.73,48.27,87.55,0.28,0.22,40.61,2.24,0.41,0.49,0.43,37.25,38.80
28.02,34.87,64.17,49.23,20.73,40.87,50.45,87.41,0.21,0.38,40.20,3.38,0.40,0.46,0.64,36.68,28.82
27.76,25.94,61.73,38.44,20.65,41.49,48.48,86.30,0.24,0.23,41.27,0.90,0.24,0.69,0.97,39.08,24.98
27.08,26.34,59.64,42.38,23.13,43.46,47.27,85.27,0.18,0.20,38.51,2.28,0.66,0.46,0.51,36.15,38.91
26.97,25.07,59.77,45.74,15.86,41.19,47.82,82.67,0.20,0.26,40.50,2.04,0.26,0.45,0.73,36.30,29.36
31.41,28.00,66.44,43.83,16.56,42.69,50.36,85.46,0.30,0.29,43.46,3.97,0.27,0.59,0.88,34.57,25.98
26.41,26.76,70.92,43.94,18.14,43.20,48.77,87.39,0.17,0.26,41.34,2.32,0.27,0.48,0.43,36.86,39.46
31.55,29.31,58.30,44.92,16.27,43.63,48.02,87.46,0.33,0.33,41.08,3.46,0.51,0.69,0.85,38.49,27.06
25.60,25.75,60.94,41.23,15.67,46.00,51.09,84.78,0.16,0.20,40.09,2.51,0.50,0.70,0.92,36.85,27.38
27.08,28.54,58.98,45.31,17.73,46.43,47.24,86.60,0.28,0.30,39.44,4.28,0.63,0.75,1.23,38.33,39.87
28.22,24.79,61.76,42.19,15.48,44.23,48.45,83.00,0.28,0.29,38.79,1.89,0.55,0.44,0.68,36.66,26.79
26.78,24.93,65.48,45.12,19.79,43.20,49.20,89.74,0.20,0.26,40.72,3.37,0.25,0.47,0.50,38.64,26.92
27.52,28.03,67.79,44.18,18.60,42.73,52.44,82.93,0.18,0.29,42.83,2.02,0.32,0.48,0.50,33.64,37.60
33.78,26.08,68.14,47.96,20.19,41.30,46.68,87.79,0.28,0.21,43.43,3.59,0.60,0.53,0.67,38.69,28.78
26.98,27.33,60.81,46.35,17.35,44.57,50.44,92.19,0.21,0.20,40.85,2.27,0.25,0.49,0.60,42.22,26.03
27.10,27.76,67.59,48.30,18.09,48.10,48.38,90.92,0.25,0.37,44.77,1.88,0.55,0.74,1.19,39.35,36.55
28.39,33.58,62.83,44.90,18.47,42.60,51.07,90.02,0.31,0.30,40.42,3.27,0.26,0.44,0.70,37.50,25.97
28.07,28.58,62.44,48.32,19.48,42.32,49.75,92.02,0.26,0.30,41.99,3.41,0.30,0.40,0.65,39.49,23.36
28.88,30.82,60.81,42.88,22.14,43.08,57.75,84.70,0.31,0.35,41.49,2.46,0.76,0.97,0.46,36.02,37.32
25.53,25.59,62.16,41.72,20.07,43.72,49.64,84.73,0.16,0.24,39.91,2.02,0.30,0.47,0.46,36.88,28.42
28.38,28.02,62.70,44.95,20.35,43.40,51.83,93.19,0.25,0.25,40.27,2.48,0.35,0.49,1.01,40.29,27.93
27.98,26.22,66.84,44.87,18.47,42.22,49.29,89.13,0.18,0.27,42.85,1.62,0.40,0.47,0.50,39.31,36.72
27.54,31.67,82.67,44.15,17.10,44.68,51.14,89.64,0.25,0.26,54.95,1.98,0.25,0.46,1.01,39.77,29.33
29.51,27.61,61.70,44.57,17.64,42.50,51.02,100.00,0.31,0.25,39.45,2.13,0.25,0.47,0.78,47.61,26.71
34.81,27.09,59.66,37.85,19.64,38.78,50.16,89.58,0.31,0.27,38.37,1.03,0.18,0.33,1.26,37.49,34.57
28.29,30.68,67.36,43.15,18.70,41.91,50.90,88.23,0.29,0.38,41.43,2.19,0.29,0.44,0.66,39.26,26.18
26.97,26.79,74.18,48.15,19.36,42.15,51.44,85.91,0.23,0.29,41.55,2.07,0.29,0.48,1.03,37.06,27.00
27.15,26.67,63.11,46.92,16.25,40.28,50.60,86.42,0.20,0.26,40.58,2.17,0.27,0.49,0.67,36.98,36.79
25.59,26.33,58.69,45.23,20.44,41.98,48.79,83.12,0.20,0.20,38.99,3.37,0.30,0.50,0.64,35.73,24.88
27.01,30.88,63.88,41.56,15.78,39.71,47.96,81.84,0.28,0.19,41.55,2.52,0.25,0.50,0.55,34.77,27.08
25.27,25.79,59.24,42.65,17.84,42.06,52.51,91.61,0.20,0.33,38.95,2.32,0.46,0.48,1.03,37.14,39.92
29.84,26.68,63.36,46.23,19.14,42.57,54.16,88.89,0.30,0.26,42.58,3.45,0.30,0.50,0.49,39.06,25.96
29.93,29.70,64.69,43.28,19.25,44.27,49.91,90.35,0.28,0.28,42.20,1.71,0.33,0.53,0.91,39.25,26.45
32.72,27.69,64.79,43.01,19.53,45.60,50.15,87.37,0.29,0.28,41.72,2.22,0.43,0.57,0.71,37.37,37.80
27.53,30.56,66.10,42.27,18.84,44.03,52.65,84.45,0.22,0.38,41.10,2.05,0.39,0.46,0.76,36.99,26.23
27.90,27.08,62.61,45.71,19.06,42.20,50.73,85.91,0.24,0.25,41.61,5.85,0.70,0.68,1.07,36.51,25.28
25.99,26.61,54.84,41.99,15.88,42.95,49.40,83.79,0.24,0.27,37.31,2.18,0.25,0.50,0.95,35.87,37.04
27.69,25.69,57.03,40.44,17.43,41.73,47.75,85.46,0.26,0.23,37.57,2.04,0.27,0.47,0.94,36.15,24.42
29.18,25.17,61.21,41.78,16.75,41.43,48.62,85.24,0.29,0.32,38.80,2.08,0.27,0.44,0.62,36.00,27.20
27.80,25.91,62.87,41.48,18.81,42.52,48.33,81.55,0.24,0.26,39.98,2.33,0.29,0.50,0.56,35.20,37.94
31.70,28.95,67.18,45.66,19.34,44.17,48.81,82.59,0.29,0.36,40.90,3.20,0.32,0.43,0.48,33.60,26.95
26.48,24.96,65.28,42.38,17.53,40.69,50.24,87.26,0.16,0.18,40.80,2.07,0.28,0.76,0.47,38.30,29.14
27.15,33.52,63.24,48.74,24.72,43.74,50.42,90.47,0.28,0.19,41.57,2.24,0.46,0.48,1.00,40.18,37.64
34.60,26.90,65.37,47.02,22.51,45.45,50.12,87.59,0.31,0.25,42.72,3.01,0.41,0.54,0.69,37.27,27.91
34.08,27.85,65.32,44.68,19.36,43.60,50.98,87.11,0.29,0.25,41.98,2.16,0.32,0.38,0.68,37.33,27.28
27.90,28.85,66.03,47.15,23.82,41.57,50.84,94.87,0.22,0.36,40.41,3.87,0.68,0.81,0.91,39.07,37.80
29.06,28.62,59.92,39.20,19.02,40.99,52.10,93.50,0.29,0.27,38.40,1.03,0.24,0.74,0.87,36.46,25.25
28.95,27.79,64.01,43.21,18.89,43.83,52.11,92.47,0.25,0.23,41.57,2.18,0.27,0.45,0.65,42.03,26.93
26.89,27.79,68.64,43.00,16.83,42.13,50.46,88.33,0.24,0.27,42.60,1.88,0.25,0.41,0.93,36.89,38.23
28.10,27.39,65.81,45.45,18.23,44.16,50.40,92.02,0.22,0.25,42.52,2.16,0.26,0.40,0.66,38.63,27.46
27.13,28.81,69.34,43.91,17.58,41.45,48.46,91.57,0.19,0.25,42.06,2.11,0.34,0.48,0.71,38.06,28.37
28.04,27.71,70.42,43.01,18.23,43.33,49.40,82.92,0.24,0.23,40.93,2.22,0.32,0.48,0.39,34.09,37.76
26.89,29.27,60.59,46.26,23.34,42.68,51.61,90.22,0.22,0.26,40.04,2.51,0.43,0.50,0.63,40.95,24.79
27.11,34.33,67.80,43.76,17.45,41.20,48.08,86.37,0.31,0.26,38.92,2.13,0.32,0.49,1.01,34.91,28.28
25.93,30.21,58.43,44.62,21.69,39.44,48.84,87.80,0.29,0.29,38.38,1.54,0.34,0.66,0.90,37.84,41.30
28.09,24.54,58.16,41.78,18.43,39.84,46.57,86.64,0.33,0.21,37.57,2.92,0.31,0.43,0.47,39.50,25.54
24.81,25.90,65.79,40.69,16.04,40.54,48.09,86.20,0.20,0.30,38.96,1.97,0.25,0.42,0.65,35.89,26.54
28.57,29.90,61.92,40.37,14.63,40.24,47.31,87.79,0.27,0.39,41.66,1.40,0.20,0.31,0.86,37.71,35.90
26.12,23.82,57.47,43.90,17.09,39.95,50.23,88.69,0.18,0.19,38.65,3.07,0.30,0.47,1.03,36.58,25.93
27.33,26.20,60.15,41.62,16.54,41.73,47.74,85.69,0.26,0.23,39.32,2.13,0.28,0.42,1.15,37.61,24.69
30.36,28.13,59.37,47.12,18.92,49.48,50.26,89.77,0.30,0.31,39.84,2.37,0.28,0.42,0.70,41.20,40.33
27.84,27.53,63.25,41.75,19.94,42.42,57.13,87.67,0.25,0.29,40.62,1.62,0.40,0.44,0.50,36.57,25.86
27.85,27.31,58.95,47.99,18.28,45.57,49.70,83.13,0.29,0.20,39.65,2.47,0.34,0.53,0.57,35.61,28.39
25.40,25.11,59.19,43.20,18.21,41.45,49.65,88.10,0.14,0.15,39.27,2.01,0.31,0.49,0.55,37.91,37.34
33.05,38.63,66.23,43.29,17.88,45.12,53.30,90.54,0.31,0.29,41.09,2.16,0.30,0.46,0.57,38.04,25.56
27.72,28.98,62.66,44.51,18.94,42.96,51.44,87.93,0.23,0.28,41.80,1.79,0.31,0.55,0.53,38.93,26.41
27.07,28.60,68.25,43.44,17.51,41.19,49.16,88.79,0.24,0.30,41.96,2.15,0.27,0.30,0.43,38.34,38.91
31.72,26.78,66.64,45.20,18.25,42.77,52.12,85.97,0.28,0.21,42.48,3.12,0.29,0.44,0.62,36.59,25.28
29.72,31.52,64.00,42.08,16.53,40.19,56.86,92.26,0.29,0.26,40.92,1.04,0.31,0.25,1.08,40.22,27.68
30.49,28.07,60.52,45.64,18.30,44.93,51.48,90.16,0.31,0.20,39.92,2.43,0.32,0.44,0.98,39.71,37.17
29.47,27.33,66.41,44.65,18.23,42.11,48.34,89.45,0.26,0.27,43.35,3.16,0.25,0.47,0.93,40.62,26.19
27.62,27.99,64.99,43.94,20.99,42.53,50.19,86.01,0.25,0.24,41.90,2.08,0.33,0.56,0.73,36.08,27.00
30.04,26.77,59.34,45.64,20.01,42.46,51.29,90.30,0.24,0.22,39.70,2.07,0.28,0.47,1.23,37.30,39.61
27.72,28.09,81.22,46.58,18.58,42.59,48.92,82.67,0.25,0.57,57.08,3.36,0.28,0.51,0.65,35.09,26.99
26.55,26.96,62.51,45.23,24.33,41.72,50.17,87.30,0.26,0.23,40.56,2.35,0.47,0.47,0.60,36.66,26.67
28.30,32.83,60.28,42.92,19.77,45.18,49.15,88.89,0.18,0.24,40.42,2.16,0.39,0.46,0.52,38.67,38.97
27.34,26.56,65.42,42.41,18.08,42.82,53.43,88.41,0.22,0.18,41.30,2.04,0.25,0.45,0.60,38.20,27.36
31.27,27.53,71.75,43.30,16.84,43.19,53.90,87.34,0.22,0.25,43.32,1.94,0.25,0.38,0.65,37.97,29.52
28.50,28.81,61.37,44.83,18.93,44.01,49.10,85.43,0.29,0.40,39.93,3.10,0.29,0.43,0.47,36.30,36.40
27.42,27.63,66.18,39.22,18.11,43.77,51.67,88.61,0.25,0.27,40.51,0.96,0.41,0.79,1.01,38.97,25.95
27.68,26.99,67.48,42.55,20.57,43.01,49.79,91.28,0.23,0.24,41.72,2.02,0.32,0.50,0.61,41.42,26.90
28.30,25.43,62.13,41.48,19.96,43.17,50.21,86.78,0.27,0.22,40.35,2.14,0.25,0.46,0.51,36.91,38.37
29.18,27.61,62.90,44.68,17.35,46.67,49.25,92.01,0.20,0.15,41.56,2.09,0.25,0.47,0.61,37.92,26.61
33.01,26.24,67.08,43.70,17.82,43.53,48.66,86.34,0.29,0.19,40.83,2.06,0.29,0.53,0.57,36.89,27.72
27.97,26.73,64.46,45.71,19.82,42.38,48.96,84.84,0.21,0.23,44.82,2.12,0.34,0.54,0.60,34.39,39.70
26.81,28.96,60.91,43.45,19.52,45.52,56.97,87.62,0.23,0.48,40.35,3.32,0.49,0.79,1.06,38.25,26.67
29.53,27.82,65.79,47.70,21.19,47.74,52.58,89.57,0.31,0.29,40.03,3.43,0.49,0.67,0.96,38.21,28.29
27.99,35.06,63.77,44.83,19.03,44.89,50.06,85.40,0.25,0.30,41.26,2.20,0.31,0.54,0.65,36.87,38.53
26.51,28.91,66.79,45.20,19.07,42.09,46.31,88.68,0.19,0.37,42.51,2.14,0.33,0.35,0.97,37.38,25.09
28.13,28.10,62.62,43.26,21.02,41.77,50.47,90.37,0.21,0.27,39.45,1.97,0.39,0.51,1.07,39.27,28.13
26.83,33.73,63.28,39.06,17.91,46.00,48.16,94.09,0.23,0.28,41.21,0.93,0.28,0.51,1.02,39.39,33.36
30.96,27.49,63.45,44.61,19.51,45.29,53.84,87.43,0.35,0.21,41.26,3.89,0.39,0.52,1.26,37.14,25.94
27.22,29.30,60.47,46.55,18.21,41.04,50.63,89.90,0.37,0.33,39.92,2.22,0.30,0.48,0.62,36.63,27.63
28.57,28.92,61.30,46.41,18.97,46.12,48.27,89.45,0.29,0.24,40.35,2.15,0.29,0.53,0.68,39.00,38.62
29.37,30.36,66.86,48.94,19.24,45.63,49.65,88.75,0.24,0.31,41.30,3.07,0.32,0.44,0.60,37.59,26.67
26.72,31.11,62.26,43.30,18.54,41.78,46.19,88.55,0.23,0.33,40.06,2.12,1.29,0.42,0.27,34.10,28.19
28.69,28.10,64.53,42.56,18.52,41.37,51.10,91.44,0.26,0.22,43.17,2.09,0.30,0.48,1.02,39.66,37.48
27.19,31.49,62.55,43.95,17.50,41.85,51.75,86.91,0.29,0.26,39.54,2.17,0.27,0.50,0.63,37.04,25.34
27.45,32.35,63.98,46.39,24.61,43.31,49.55,89.63,0.22,4.37,41.67,2.30,0.42,0.50,0.55,40.45,27.95
26.52,29.29,64.93,43.34,17.23,42.07,50.17,87.55,0.19,0.33,40.73,1.87,0.26,0.45,0.65,36.01,38.37
28.92,27.18,64.21,42.80,17.80,41.85,50.07,93.72,0.24,0.23,41.02,1.93,0.24,0.46,0.57,39.32,28.17
26.62,27.29,57.73,44.65,18.10,42.73,55.98,88.63,0.21,0.26,38.83,3.43,0.26,0.45,0.59,36.96,25.70
30.42,27.90,67.14,46.86,15.98,44.33,48.67,87.46,0.31,0.30,43.68,3.33,0.24,0.49,0.43,37.72,39.74
26.66,28.88,62.15,46.64,18.05,45.66,47.91,91.49,0.22,0.34,41.74,2.24,0.27,0.49,0.66,37.18,26.75
30.78,29.07,65.14,40.75,17.44,43.49,50.12,87.69,0.24,0.28,42.51,1.73,0.29,0.44,0.62,37.35,27.04
27.65,31.03,60.65,45.81,20.62,48.37,52.00,90.23,0.20,0.23,40.48,2.17,0.41,0.48,1.19,38.24,39.93
31.82,30.16,61.59,48.14,18.61,41.77,44.51,87.42,0.29,0.26,41.42,3.31,0.31,0.29,0.24,38.01,25.95
27.26,31.11,67.26,45.48,18.05,45.21,49.88,87.96,0.14,0.25,44.78,2.07,0.29,0.47,0.64,39.82,26.68
33.09,26.59,64.70,44.21,18.01,42.88,50.16,90.38,0.25,0.33,41.89,2.11,0.32,0.45,0.53,36.85,39.53
29.02,27.93,63.43,42.12,16.27,45.85,48.48,86.25,0.26,0.29,40.55,2.06,0.22,0.49,0.49,36.30,25.48
28.93,28.27,65.11,45.54,21.17,45.39,48.43,84.73,0.22,0.23,43.84,2.19,0.39,1.27,0.63,36.41,28.41
31.32,27.45,62.50,45.41,17.28,59.81,48.02,87.21,0.26,0.25,41.70,2.26,0.27,1.01,1.02,38.47,41.24
26.25,27.23,59.40,44.09,20.00,42.95,50.57,87.60,0.15,0.15,40.42,1.97,0.31,0.55,0.90,37.03,27.17
27.79,33.24,65.15,43.67,21.46,48.85,58.21,97.42,0.29,0.33,42.69,2.26,0.67,1.00,0.95,46.60,27.39
27.39,30.37,65.69,43.82,18.58,44.26,48.03,91.35,0.21,0.27,39.74,2.10,0.29,0.34,0.71,36.22,39.67
28.62,27.91,64.12,43.27,19.46,45.49,49.59,89.31,0.29,0.24,42.03,3.29,0.70,1.09,1.01,38.98,26.29
27.90,28.14,61.18,47.38,17.66,42.46,51.11,90.77,0.23,0.35,40.77,2.13,0.28,0.44,0.56,37.28,28.68
28.58,28.65,65.28,39.51,17.28,39.31,53.37,86.48,0.33,0.25,44.47,1.10,0.22,0.75,0.52,37.58,35.81
27.98,30.44,65.95,42.69,19.11,45.52,51.89,89.34,0.22,0.33,41.39,1.95,0.27,0.45,0.62,36.62,26.55
26.26,26.33,63.52,42.73,17.82,44.44,49.33,86.48,0.22,0.30,41.55,2.10,0.24,0.43,1.05,37.33,28.26
31.00,38.06,60.44,44.94,17.17,44.17,51.00,86.17,0.28,0.28,40.35,1.80,0.24,0.46,1.07,37.87,39.23
29.78,28.62,64.34,44.08,17.33,42.46,50.30,84.40,0.28,0.27,41.05,1.93,0.26,0.43,0.63,36.40,25.00
26.96,31.99,62.49,48.01,19.82,44.00,49.27,83.83,0.20,0.35,40.82,2.09,0.28,0.54,0.63,33.88,28.51
26.90,31.53,60.34,45.01,19.91,42.08,50.80,86.71,0.24,0.20,39.00,2.06,0.35,0.43,0.52,35.37,38.93
27.83,30.82,78.19,44.66,22.21,42.10,48.93,84.89,0.24,0.27,54.10,3.04,0.45,0.37,0.68,36.51,24.68
29.82,27.26,73.94,46.93,21.88,48.31,48.34,89.28,0.25,0.23,44.75,3.05,0.35,0.43,0.58,37.89,27.17
27.68,28.07,64.19,46.17,21.16,43.36,51.27,81.51,0.26,0.25,42.01,2.16,0.30,0.50,0.59,34.28,39.71
30.97,29.85,61.86,43.13,18.94,42.81,49.17,89.18,0.26,0.32,39.90,2.24,0.28,0.34,0.69,37.89,27.38
32.69,28.32,60.49,41.23,20.86,43.80,49.88,87.48,0.29,0.23,38.39,1.28,0.35,0.46,0.62,37.15,23.99
28.37,31.62,62.34,42.91,17.43,41.65,53.49,87.66,0.24,0.24,40.00,1.63,0.28,0.43,0.96,37.08,37.88
28.11,26.59,65.40,41.87,19.25,43.09,50.52,90.61,0.25,0.31,41.92,2.01,0.28,0.50,0.65,36.92,27.44
77.52,31.02,66.65,49.25,19.25,41.60,50.91,86.97,0.37,0.32,41.78,2.50,0.31,0.51,1.18,37.03,29.32
26.55,26.09,62.43,42.87,17.40,40.40,48.61,87.61,0.23,0.26,39.75,2.57,0.30,0.43,0.63,36.11,38.65
26.75,26.71,59.31,40.90,18.57,41.20,44.21,85.19,0.24,0.24,38.61,1.97,0.32,0.39,0.33,35.42,24.70
25.88,25.37,61.80,41.14,19.20,41.51,49.59,85.02,0.18,0.18,38.37,1.79,0.24,0.48,0.60,37.29,27.97
27.38,25.00,60.27,44.25,19.11,43.61,50.02,89.33,0.24,0.25,38.64,3.09,0.25,0.45,0.65,39.65,39.81
28.25,28.51,65.22,43.91,19.53,44.05,48.27,84.32,0.26,0.27,40.11,2.12,0.29,0.38,0.98,35.75,25.55
28.50,24.39,116.30,40.71,16.41,40.52,50.74,89.52,0.25,0.24,42.64,2.18,0.66,0.72,0.88,38.31,25.05
25.51,26.20,57.45,44.95,17.02,41.17,49.65,91.77,0.44,0.18,39.02,2.13,0.27,0.33,0.68,37.17,38.25
27.71,23.78,58.95,39.77,17.55,41.86,48.36,85.02,0.27,0.13,38.19,1.92,0.30,0.47,0.72,36.91,27.85
25.45,25.41,59.90,41.94,17.14,42.38,49.06,90.81,1.17,0.20,38.91,2.24,0.25,0.53,0.91,40.84,25.28
32.72,28.42,60.04,43.31,19.38,42.16,55.41,90.80,0.18,0.37,39.63,3.26,0.29,0.42,0.98,39.79,38.79
27.13,35.83,60.40,44.48,17.02,44.58,53.49,86.22,0.20,0.37,40.21,2.11,0.33,0.50,1.04,37.91,27.58
33.34,24.29,60.87,41.99,19.48,41.41,50.57,83.47,0.28,0.20,39.68,1.95,0.31,0.49,0.68,35.27,25.03
26.76,27.90,62.64,43.00,16.54,41.21,44.72,86.47,0.26,0.21,40.02,2.06,0.32,0.45,0.27,37.32,37.96
28.09,28.33,62.81,43.78,15.14,42.74,48.27,84.42,0.25,0.27,39.21,3.11,0.26,0.49,0.67,34.84,25.03
26.99,28.01,69.04,40.96,18.26,40.89,48.47,87.41,0.21,0.23,39.14,1.86,0.29,0.44,0.63,38.60,25.64
27.37,28.25,62.00,45.72,20.97,42.34,53.15,85.61,0.28,0.21,42.02,2.18,0.29,0.48,0.99,36.67,40.48
27.52,28.04,64.07,49.79,21.56,41.75,51.77,82.80,0.22,0.24,39.83,3.25,0.32,0.45,1.08,35.46,26.72
27.82,26.42,62.05,40.43,17.45,42.13,46.68,84.90,0.27,0.21,39.69,3.25,0.60,0.75,0.95,36.16,26.00
25.94,27.95,61.05,46.44,15.39,42.39,46.93,86.13,0.21,0.50,37.24,1.87,0.25,0.40,0.61,37.53,37.25
25.28,24.84,58.84,38.64,18.08,41.66,47.94,87.82,0.22,0.19,38.46,1.87,0.31,0.51,0.71,39.71,24.83
26.91,28.37,62.50,41.44,17.67,42.30,51.78,88.56,0.23,0.35,39.93,1.95,0.32,0.44,0.71,38.14,26.76
29.41,30.71,62.67,48.87,16.26,41.07,49.68,90.95,0.26,0.27,40.11,2.27,0.25,0.45,0.56,38.61,41.58
24.59,24.59,59.90,45.83,17.67,42.83,51.58,84.66,0.28,0.18,37.02,2.40,0.52,0.74,0.94,37.79,24.92
26.75,26.23,59.72,44.73,17.17,40.05,48.13,81.82,0.20,0.27,37.33,1.98,0.24,0.45,0.48,34.15,25.17
25.21,28.21,58.00,45.37,18.67,41.90,48.67,90.27,0.17,0.28,38.71,4.05,0.26,0.83,1.11,37.27,38.50
26.46,25.64,63.16,46.28,17.56,42.03,48.09,87.94,0.21,0.27,39.95,2.07,0.34,0.44,0.63,36.38,25.22
27.52,25.40,64.43,42.19,26.03,44.25,54.61,87.87,0.38,0.21,43.48,2.96,0.74,0.81,1.01,36.69,26.72
27.36,26.02,63.36,47.03,18.35,43.44,53.15,83.02,0.22,0.19,41.81,2.10,0.24,0.44,0.66,35.63,38.96
27.01,27.71,56.97,43.00,16.23,43.27,46.57,90.28,0.29,0.21,38.88,3.42,0.41,0.68,0.91,39.06,27.25
31.59,27.63,56.70,41.20,15.86,38.08,46.70,89.83,0.24,0.24,38.44,1.79,0.19,0.19,0.99,39.38,26.57
27.45,25.61,59.02,45.09,15.57,55.92,48.87,88.09,0.31,0.24,39.86,1.96,0.24,0.47,0.62,39.65,38.51
26.26,31.08,66.42,40.63,15.69,40.65,47.64,91.52,0.23,0.27,40.87,2.10,0.26,0.44,0.68,42.59,24.80
28.97,26.91,61.83,45.95,19.43,42.52,52.39,85.75,0.27,0.20,40.22,1.81,0.28,0.45,0.46,37.64,28.57
28.41,30.72,65.39,43.78,15.72,40.63,48.58,81.27,0.24,0.27,41.22,1.81,0.25,0.41,0.50,33.54,38.64
27.51,25.26,57.83,40.83,15.71,41.36,49.03,86.60,0.24,0.17,38.90,1.67,0.23,0.43,0.53,36.55,25.51
26.32,24.85,58.50,39.92,17.30,41.93,47.50,84.05,0.14,0.13,39.81,1.52,0.25,0.43,0.58,36.75,24.74
26.78,28.99,61.46,42.23,18.31,43.46,49.15,89.01,0.18,0.24,38.70,2.01,0.29,0.38,0.67,36.50,36.88
28.78,25.68,58.86,39.92,19.33,43.65,51.14,87.27,0.29,0.29,38.20,1.90,0.27,0.52,1.18,37.24,26.35
26.72,28.26,65.98,41.20,17.82,42.32,48.69,90.74,0.24,0.25,41.71,1.68,0.25,0.44,0.45,36.05,26.11
28.21,27.67,66.48,41.19,17.64,42.75,47.74,84.47,0.24,0.29,41.05,1.85,0.24,0.47,0.52,36.59,35.57
27.22,26.24,60.50,38.44,16.39,43.49,43.06,80.89,0.24,0.30,38.89,1.81,0.21,0.46,0.28,35.27,26.15
27.13,27.23,62.73,40.08,16.70,38.92,45.11,88.72,0.19,0.23,40.59,1.81,0.25,0.25,0.56,37.63,25.49
27.66,27.38,58.94,45.42,15.37,39.88,47.12,83.11,0.26,0.21,37.67,1.90,0.20,0.40,0.58,34.91,38.87
26.51,25.89,72.95,44.84,17.69,42.61,48.58,86.05,0.22,0.20,51.63,2.01,0.27,0.46,0.62,38.28,26.43
26.63,27.90,64.48,42.42,18.24,43.26,50.07,93.40,0.34,0.23,39.64,1.73,0.22,0.44,0.53,40.84,26.75
35.68,25.36,63.13,41.92,17.38,42.99,52.15,89.41,0.27,0.24,39.89,1.99,0.26,0.44,0.51,39.03,37.54
28.67,26.92,62.89,38.95,14.69,39.92,48.72,84.32,0.24,0.22,38.64,1.13,0.18,0.26,0.73,35.53,26.91
