SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
28.57,29.25,60.95,46.19,18.99,44.08,53.15,95.98,0.34,0.27,41.53,4.81,0.36,0.92,1.52,44.13,40.46
27.42,29.07,65.17,44.23,19.44,42.18,47.17,85.56,0.35,0.33,41.25,2.65,0.33,0.53,0.42,36.99,27.28
27.45,27.50,66.30,45.11,17.53,44.99,49.98,88.94,0.25,0.35,43.69,2.84,0.36,0.72,0.60,38.44,26.97
27.01,31.47,69.29,44.78,19.50,45.98,52.09,88.34,0.25,0.39,40.71,3.32,0.43,0.73,1.30,37.65,37.21
33.60,30.22,70.05,46.58,19.37,43.63,51.46,90.01,0.37,0.32,42.42,2.92,0.35,0.46,0.93,39.07,30.30
27.92,26.07,67.38,45.69,19.35,47.32,51.50,89.77,0.27,0.24,43.43,3.07,0.33,0.54,0.92,39.58,26.86
31.07,32.99,65.48,46.32,18.12,43.80,52.41,85.86,0.41,0.33,42.21,2.80,0.34,0.62,0.86,35.76,39.33
31.32,29.58,72.36,44.09,16.97,41.30,55.23,90.92,0.48,0.34,41.05,4.17,0.53,0.83,1.41,40.34,26.32
27.96,26.65,60.88,44.38,18.09,41.71,50.31,86.00,0.32,0.41,38.13,4.37,0.33,0.48,0.87,38.80,27.82
26.42,25.07,62.75,42.91,17.42,41.23,48.39,88.19,0.24,0.46,39.28,2.61,0.35,0.59,0.84,40.03,37.78
38.04,26.88,63.24,43.02,16.17,41.13,52.17,87.14,0.38,0.47,39.95,2.89,0.30,0.63,0.56,38.11,26.22
27.30,30.16,65.91,44.55,22.92,45.30,50.41,85.39,0.31,0.42,41.88,2.76,0.57,0.58,0.66,37.71,28.09
28.59,28.18,67.84,44.76,17.84,38.91,50.33,89.81,0.23,0.29,41.74,2.64,0.24,0.23,0.81,38.17,38.93
31.16,28.41,65.06,45.56,19.27,43.16,50.12,92.44,0.28,0.48,40.18,2.60,0.36,0.55,0.65,37.73,28.70
27.81,26.38,72.46,45.62,19.02,42.30,52.54,90.15,0.29,0.22,44.77,2.67,0.36,0.59,0.95,39.78,28.96
30.34,33.79,69.15,44.94,19.96,44.07,50.33,90.02,0.34,0.34,43.44,2.64,0.48,0.52,0.82,39.20,40.73
29.72,26.81,61.89,48.99,21.68,44.50,66.75,91.98,0.43,0.22,41.30,4.86,0.81,1.11,1.48,38.77,26.61
29.96,27.34,64.02,47.93,17.46,45.50,45.81,86.99,0.32,0.29,42.20,2.91,0.32,0.61,0.41,37.37,27.96
28.34,31.08,62.45,45.53,17.97,47.45,46.73,88.83,0.28,0.22,39.31,2.66,0.35,0.48,0.82,38.48,40.20
28.20,25.74,63.87,42.54,20.24,42.26,48.86,88.39,0.44,0.36,41.79,2.67,0.39,0.62,0.95,38.51,26.34
28.70,29.37,64.85,45.86,16.70,41.19,48.39,84.08,0.32,0.42,43.60,2.87,0.33,0.60,0.80,36.39,28.15
28.66,27.38,57.94,44.09,17.72,43.78,48.23,87.15,0.24,0.28,38.22,2.75,0.37,0.66,0.55,36.76,36.62
38.73,27.08,62.23,44.27,16.50,40.77,47.37,85.98,0.39,0.28,39.79,2.95,0.31,0.56,0.60,38.17,27.04
