SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
20.73,47.44,0.26,4.04,44.43,40.39,0.36,23.91,157.64
27.16,45.70,0.87,4.83,41.08,36.27,0.17,34.60,156.07
24.24,45.93,0.28,4.93,42.21,40.15,1.74,22.15,159.47
26.97,45.65,0.27,4.76,42.20,38.50,0.18,23.82,158.53
21.96,46.69,0.34,4.93,42.41,37.06,0.16,33.35,153.56
23.71,45.90,0.29,4.42,49.26,37.80,0.11,23.40,161.49
17.78,45.93,0.24,4.29,43.30,38.12,0.16,24.69,149.82
23.55,50.43,0.35,5.00,46.71,39.82,0.19,35.08,166.05
19.83,45.82,0.28,4.28,43.41,40.24,0.18,22.53,154.04
19.85,46.63,0.29,4.57,43.08,37.37,0.22,22.13,152.01
23.25,44.94,0.20,4.27,44.29,37.84,0.20,32.45,155.00
23.23,43.72,0.21,4.19,45.13,39.37,0.16,23.01,155.99
20.10,46.27,0.26,4.55,41.41,38.41,0.18,21.50,151.18
24.22,45.42,0.29,4.40,42.84,36.90,0.20,34.85,154.28
24.81,45.73,0.37,4.39,51.84,39.16,0.17,23.53,166.47
18.26,47.86,0.30,4.90,41.43,36.32,0.36,23.63,149.41
24.41,46.35,0.27,4.72,43.09,35.75,0.21,34.97,154.80
22.10,46.33,0.29,4.51,43.27,36.72,0.32,22.21,153.54
21.64,45.74,0.29,4.30,46.06,35.25,0.14,23.85,153.41
25.04,38.16,0.18,3.02,46.05,35.93,0.18,33.52,148.56
24.20,45.41,0.24,5.32,43.83,37.84,0.23,21.95,157.06
20.08,47.98,0.20,3.41,44.42,38.06,0.14,22.60,154.29
20.04,47.01,0.25,4.66,44.05,36.31,0.17,35.68,152.48
19.03,47.12,0.28,4.18,61.47,40.86,0.18,20.43,173.12
25.75,47.04,0.25,4.44,43.40,38.26,0.32,23.98,159.46
19.54,48.57,0.22,4.74,40.98,40.99,0.20,35.12,155.25
21.28,45.44,0.23,4.36,43.48,37.85,0.24,21.94,152.88
18.98,47.32,0.30,4.67,41.66,36.68,0.34,22.32,149.96
